challenge_id,user_id,team_id,id,ip,provided,type,date
2,13566,,4,172.68.166.153,ciberNUtica{1/800},correct,2024-11-08 16:31:22.410059
9,13570,,5,162.158.106.162,ciberNUsoid{edit_not_open},correct,2024-11-08 16:31:42.377513
2,13565,,6,172.69.95.62,ciberNUtica{1/800},correct,2024-11-08 16:32:13.291989
4,13547,,10,162.158.23.52,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:32:44.811101
7,13570,,17,162.158.106.162,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:33:57.031151
4,13571,,18,172.71.81.30,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:34:26.464163
4,13573,,19,172.70.92.145,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:34:39.626542
12,13547,,20,162.158.23.52,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:35:25.182215
12,13573,,22,172.70.92.144,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:35:30.563011
4,13540,,25,172.70.147.87,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:35:54.967681
4,13557,,26,172.71.124.125,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:36:07.208986
4,13559,,28,172.70.93.18,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:36:32.728956
2,13539,,30,172.70.143.69,ciberNUtica{1/800},correct,2024-11-08 16:36:43.240090
12,13566,,32,172.68.166.139,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:37:04.467581
7,13559,,33,162.158.189.3,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:37:19.053623
4,13560,,34,162.158.22.48,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:37:26.923941
2,13573,,37,172.70.92.144,ciberNUtica{1/800},correct,2024-11-08 16:37:45.805881
4,13574,,38,172.70.147.127,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:37:47.565159
4,13566,,40,172.68.166.159,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:37:48.864960
12,13560,,41,162.158.22.48,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:37:49.482508
2,13559,,42,172.68.242.69,ciberNUtica{1/800},correct,2024-11-08 16:37:56.057885
2,13571,,43,172.70.143.228,ciberNUtica{1/800},correct,2024-11-08 16:38:05.525037
2,13547,,45,162.158.23.51,ciberNUtica{1/800},correct,2024-11-08 16:38:11.154971
4,13565,,47,172.69.95.62,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:38:24.607058
2,13560,,49,162.158.22.48,ciberNUtica{1/800},correct,2024-11-08 16:38:28.511013
12,13565,,51,172.69.95.62,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:38:50.582644
12,13574,,54,172.70.147.127,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:38:54.577037
2,13570,,56,162.158.106.162,ciberNUtica{1/800},correct,2024-11-08 16:39:24.012831
9,13560,,57,162.158.22.48,ciberNUsoid{edit_not_open},correct,2024-11-08 16:39:44.830113
7,13560,,60,162.158.22.48,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:40:23.483882
2,13574,,63,172.70.147.126,ciberNUtica{1/800},correct,2024-11-08 16:40:53.629001
2,13558,,70,172.69.165.60,ciberNUtica{1/800},correct,2024-11-08 16:42:07.730169
12,13559,,71,172.70.92.161,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:42:39.247726
4,13570,,74,162.158.106.163,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:43:47.915561
12,13570,,77,162.158.106.162,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:44:12.417531
2,13540,,81,172.70.147.86,ciberNUtica{1/800},correct,2024-11-08 16:44:27.705224
7,13565,,85,172.69.95.62,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:44:38.372898
7,13566,,90,172.68.166.159,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:44:54.531898
4,13562,,91,162.158.163.40,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:44:58.638034
12,13535,,92,172.70.108.59,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:45:08.254390
4,13535,,100,172.70.108.58,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:46:10.878095
9,13558,,104,172.69.165.60,ciberNUsoid{edit_not_open},correct,2024-11-08 16:47:00.047292
2,13562,,109,162.158.163.39,ciberNUtica{1/800},correct,2024-11-08 16:47:49.395325
12,13562,,112,162.158.163.40,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:48:54.517298
4,13572,,114,172.68.242.69,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 16:49:32.922676
7,13547,,118,172.70.108.59,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:50:14.999236
5,13539,,119,172.70.143.70,CiberNUsoid{1m4g3_St3g4n0gr4phy_87s4sh2},correct,2024-11-08 16:50:21.396819
12,13571,,121,172.69.166.27,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:50:29.929998
1,13560,,124,162.158.22.48,ciberNUsoid{M0R53C0D3FTW937A6S39},correct,2024-11-08 16:50:48.796836
12,13572,,125,162.158.189.169,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 16:51:36.306666
7,13558,,126,162.158.106.16,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:53:43.332542
7,13562,,135,162.158.163.40,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:55:41.815287
9,13559,,147,172.70.188.82,ciberNUsoid{edit_not_open},correct,2024-11-08 16:57:43.947448
2,13561,,151,172.69.86.85,ciberNUtica{1/800},correct,2024-11-08 16:58:14.445919
7,13535,,154,172.70.108.58,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 16:59:09.254013
4,13539,,155,172.69.52.149,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:00:11.485889
5,13560,,156,172.68.234.13,CiberNUsoid{1m4g3_St3g4n0gr4phy_87s4sh2},correct,2024-11-08 17:00:20.492771
4,13545,,162,172.71.124.125,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:03:02.443677
4,13532,,171,172.71.198.197,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:05:45.972635
9,13565,,174,172.69.86.112,ciberNUsoid{edit_not_open},correct,2024-11-08 17:06:16.382574
9,13566,,176,172.68.166.159,ciberNUsoid{edit_not_open},correct,2024-11-08 17:06:33.986547
7,13571,,177,162.158.162.247,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 17:07:12.297708
12,13539,,179,162.158.48.195,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 17:09:32.068555
13,13560,,180,172.70.108.59,ciberNUsoid{T41S1ST43M0M3NT},correct,2024-11-08 17:09:32.320621
12,13532,,181,172.69.178.66,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 17:09:48.652811
12,13545,,182,172.71.124.124,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 17:10:56.493161
2,13545,,183,162.158.106.216,ciberNUtica{1/800},correct,2024-11-08 17:12:40.931808
4,13594,,189,172.71.124.65,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:14:22.505050
4,13597,,190,172.69.129.183,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:14:26.834940
10,13560,,191,172.70.108.58,ciberNUsoid{MyP43c10usP13c30fHI5t0ry},correct,2024-11-08 17:15:32.392761
2,13532,,194,172.69.179.103,ciberNUtica{1/800},correct,2024-11-08 17:15:56.616369
2,13593,,197,172.70.92.202,ciberNUtica{1/800},correct,2024-11-08 17:16:34.870972
12,13597,,198,172.68.147.250,ciberNUsoid{ba5e64_r3cur5iv3_d3cod!ng_7a9a3h1},correct,2024-11-08 17:16:36.249473
2,13589,,201,172.69.95.9,ciberNUtica{1/800},correct,2024-11-08 17:17:45.702314
4,13558,,202,172.70.147.168,ciberNUsoid{Sh4p3_th3_V1ct0ry},correct,2024-11-08 17:17:51.976106
6,13560,,204,172.70.108.59,CiberNUtica{D1ff1cUlt_To_F1nd_Fl4g},correct,2024-11-08 17:17:58.505552
7,13572,,206,172.71.124.182,ciberNUsoid{buffer_overflow_achieved},correct,2024-11-08 17:18:07.449369
2,13597,,215,172.68.147.190,ciberNUtica{1/800},correct,2024-11-08 17:21:02.805654
